image_path,description,channel,vehicle_model,creative_type,audience_segment,campaign_id,dimensions,file_size
data/assets/google/google_avatr_12_responsive_ad_03.png,"Hero launch responsive display creative for AVATR 12 — lifestyle shot targeting eco-conscious consumers, used in Google Ads network, September 2025 UK launch",google,AVATR 12,Responsive Ad,ECO_CONSCIOUS,GOOGLE_GB_A12_03_1170,800x600,18326
data/assets/google/google_deepal_s05_display_ad_04.png,"Hero launch display banner for DEEPAL S05 — lifestyle shot targeting Audi conquest segment, used in Google Ads network, September 2025 UK launch",google,DEEPAL S05,Display Ad,CONQUEST_AUDI,GOOGLE_GB_S05_04_2358,800x600,19657
data/assets/google/google_avatr_12_search_ad_05.png,"Hero launch search ad creative for AVATR 12 — lifestyle shot targeting engaged video viewers, used in Google Ads network, September 2025 UK launch",google,AVATR 12,Search Ad,ENGAGED_VIEWERS,GOOGLE_GB_A12_05_6779,800x600,18573
data/assets/google/google_deepal_s05_responsive_ad_06.png,"Hero launch responsive display creative for DEEPAL S05 — lifestyle shot targeting tech enthusiasts, used in Google Ads network, September 2025 UK launch",google,DEEPAL S05,Responsive Ad,TECH_ENTHUSIASTS,GOOGLE_GB_S05_06_4530,800x600,19558
data/assets/tv/tv_avatr_12_tv_still_01.png,"Hero launch TV commercial still frame for AVATR 12 — lifestyle shot targeting engaged video viewers, used in broadcast television spots, September 2025 UK launch",tv,AVATR 12,TV Still,ENGAGED_VIEWERS,TV_GB_A12_01_4275,800x600,16331
data/assets/tv/tv_deepal_s07_bumper_frame_02.png,"Hero launch bumper ad frame for DEEPAL S07 — lifestyle shot targeting young professionals, used in broadcast television spots, September 2025 UK launch",tv,DEEPAL S07,Bumper Frame,YOUNG_PROFESSIONALS,TV_GB_S07_02_2482,800x600,18473
data/assets/tv/tv_avatr_12_sponsorship_slate_03.png,"Hero launch sponsorship slate graphic for AVATR 12 — lifestyle shot targeting website retargeting visitors, used in broadcast television spots, September 2025 UK launch",tv,AVATR 12,Sponsorship Slate,SITE_VISITORS,TV_GB_A12_03_2507,800x600,17834
data/assets/tv/tv_avatr_12_tv_still_04.png,"Hero launch TV commercial still frame for AVATR 12 — lifestyle shot targeting tech enthusiasts, used in broadcast television spots, September 2025 UK launch",tv,AVATR 12,TV Still,TECH_ENTHUSIASTS,TV_GB_A12_04_2218,800x600,15478
data/assets/tv/tv_avatr_12_bumper_frame_05.png,"Hero launch bumper ad frame for AVATR 12 — lifestyle shot targeting engaged video viewers, used in broadcast television spots, September 2025 UK launch",tv,AVATR 12,Bumper Frame,ENGAGED_VIEWERS,TV_GB_A12_05_1230,800x600,17405
data/assets/tv/tv_deepal_s05_sponsorship_slate_06.png,"Hero launch sponsorship slate graphic for DEEPAL S05 — lifestyle shot targeting luxury lifestyle audiences, used in broadcast television spots, September 2025 UK launch",tv,DEEPAL S05,Sponsorship Slate,LUXURY_LIFESTYLE,TV_GB_S05_06_7090,800x600,18872
data/assets/ooh/ooh_deepal_s05_billboard_mockup_01.png,"Hero launch billboard mockup for DEEPAL S05 — lifestyle shot targeting EV intenders, used in out-of-home placements, September 2025 UK launch",ooh,DEEPAL S05,Billboard Mockup,EV_INTENDERS,OOH_GB_S05_01_1619,800x600,18793
data/assets/ooh/ooh_avatr_12_bus_shelter_02.png,"Hero launch bus shelter poster for AVATR 12 — lifestyle shot targeting tech enthusiasts, used in out-of-home placements, September 2025 UK launch",ooh,AVATR 12,Bus Shelter,TECH_ENTHUSIASTS,OOH_GB_A12_02_9388,800x600,16893
data/assets/ooh/ooh_deepal_s07_digital_screen_03.png,"Hero launch digital OOH screen for DEEPAL S07 — lifestyle shot targeting fleet managers, used in out-of-home placements, September 2025 UK launch",ooh,DEEPAL S07,Digital Screen,FLEET_MANAGERS,OOH_GB_S07_03_2743,800x600,18803
data/assets/ooh/ooh_avatr_11_billboard_mockup_04.png,"Hero launch billboard mockup for AVATR 11 — lifestyle shot targeting luxury lifestyle audiences, used in out-of-home placements, September 2025 UK launch",ooh,AVATR 11,Billboard Mockup,LUXURY_LIFESTYLE,OOH_GB_A11_04_2386,800x600,17371
data/assets/ooh/ooh_deepal_s05_bus_shelter_05.png,"Hero launch bus shelter poster for DEEPAL S05 — lifestyle shot targeting tech enthusiasts, used in out-of-home placements, September 2025 UK launch",ooh,DEEPAL S05,Bus Shelter,TECH_ENTHUSIASTS,OOH_GB_S05_05_3197,800x600,18015
data/assets/ooh/ooh_avatr_12_digital_screen_06.png,"Hero launch digital OOH screen for AVATR 12 — lifestyle shot targeting engaged video viewers, used in out-of-home placements, September 2025 UK launch",ooh,AVATR 12,Digital Screen,ENGAGED_VIEWERS,OOH_GB_A12_06_1360,800x600,18434
data/assets/youtube/youtube_avatr_12_thumbnail_01.png,"Hero launch video thumbnail for AVATR 12 — lifestyle shot targeting Tesla conquest segment, used in YouTube video campaigns, September 2025 UK launch",youtube,AVATR 12,Thumbnail,CONQUEST_TESLA,YOUTUBE_GB_A12_01_4808,800x600,17367
data/assets/youtube/youtube_avatr_11_bumper_frame_02.png,"Hero launch bumper ad frame for AVATR 11 — lifestyle shot targeting young professionals, used in YouTube video campaigns, September 2025 UK launch",youtube,AVATR 11,Bumper Frame,YOUNG_PROFESSIONALS,YOUTUBE_GB_A11_02_2720,800x600,17838
data/assets/youtube/youtube_deepal_s05_masthead_banner_03.png,"Hero launch masthead banner for DEEPAL S05 — lifestyle shot targeting eco-conscious consumers, used in YouTube video campaigns, September 2025 UK launch",youtube,DEEPAL S05,Masthead Banner,ECO_CONSCIOUS,YOUTUBE_GB_S05_03_6787,800x600,19251
data/assets/youtube/youtube_deepal_s07_thumbnail_04.png,"Hero launch video thumbnail for DEEPAL S07 — lifestyle shot targeting premium auto buyers, used in YouTube video campaigns, September 2025 UK launch",youtube,DEEPAL S07,Thumbnail,PREMIUM_AUTO,YOUTUBE_GB_S07_04_4271,800x600,17749
data/assets/youtube/youtube_avatr_12_bumper_frame_05.png,"Hero launch bumper ad frame for AVATR 12 — lifestyle shot targeting BMW conquest segment, used in YouTube video campaigns, September 2025 UK launch",youtube,AVATR 12,Bumper Frame,CONQUEST_BMW,YOUTUBE_GB_A12_05_7995,800x600,18631
data/assets/tiktok/tiktok_deepal_s07_vertical_still_01.png,"Hero launch vertical video still for DEEPAL S07 — lifestyle shot targeting BMW conquest segment, used in TikTok short-form video, September 2025 UK launch",tiktok,DEEPAL S07,Vertical Still,CONQUEST_BMW,TIKTOK_GB_S07_01_4077,800x600,19317
data/assets/tiktok/tiktok_avatr_12_topview_frame_02.png,"Hero launch TopView format frame for AVATR 12 — lifestyle shot targeting BMW conquest segment, used in TikTok short-form video, September 2025 UK launch",tiktok,AVATR 12,TopView Frame,CONQUEST_BMW,TIKTOK_GB_A12_02_6330,800x600,19142
data/assets/tiktok/tiktok_deepal_s05_spark_ad_03.png,"Hero launch Spark Ad creative for DEEPAL S05 — lifestyle shot targeting website retargeting visitors, used in TikTok short-form video, September 2025 UK launch",tiktok,DEEPAL S05,Spark Ad,SITE_VISITORS,TIKTOK_GB_S05_03_1808,800x600,18627
data/assets/tiktok/tiktok_avatr_12_vertical_still_04.png,"Hero launch vertical video still for AVATR 12 — lifestyle shot targeting BMW conquest segment, used in TikTok short-form video, September 2025 UK launch",tiktok,AVATR 12,Vertical Still,CONQUEST_BMW,TIKTOK_GB_A12_04_7511,800x600,18366
data/assets/tiktok/tiktok_avatr_12_topview_frame_05.png,"Hero launch TopView format frame for AVATR 12 — lifestyle shot targeting Tesla conquest segment, used in TikTok short-form video, September 2025 UK launch",tiktok,AVATR 12,TopView Frame,CONQUEST_TESLA,TIKTOK_GB_A12_05_7216,800x600,18606
data/assets/linkedin/linkedin_avatr_12_sponsored_content_01.png,"Hero launch sponsored content image for AVATR 12 — lifestyle shot targeting Tesla conquest segment, used in LinkedIn B2B campaigns, September 2025 UK launch",linkedin,AVATR 12,Sponsored Content,CONQUEST_TESLA,LINKEDIN_GB_A12_01_8516,800x600,19100
data/assets/linkedin/linkedin_deepal_s07_message_ad_02.png,"Hero launch message ad creative for DEEPAL S07 — lifestyle shot targeting young professionals, used in LinkedIn B2B campaigns, September 2025 UK launch",linkedin,DEEPAL S07,Message Ad,YOUNG_PROFESSIONALS,LINKEDIN_GB_S07_02_7900,800x600,19702
data/assets/linkedin/linkedin_avatr_11_carousel_03.png,"Hero launch carousel creative for AVATR 11 — lifestyle shot targeting website retargeting visitors, used in LinkedIn B2B campaigns, September 2025 UK launch",linkedin,AVATR 11,Carousel,SITE_VISITORS,LINKEDIN_GB_A11_03_5268,800x600,16803
data/assets/linkedin/linkedin_deepal_s07_sponsored_content_04.png,"Hero launch sponsored content image for DEEPAL S07 — lifestyle shot targeting BMW conquest segment, used in LinkedIn B2B campaigns, September 2025 UK launch",linkedin,DEEPAL S07,Sponsored Content,CONQUEST_BMW,LINKEDIN_GB_S07_04_8636,800x600,20588
data/assets/dv360/dv360_avatr_11_programmatic_display_01.png,"Hero launch programmatic display banner for AVATR 11 — lifestyle shot targeting young professionals, used in DV360 programmatic display, September 2025 UK launch",dv360,AVATR 11,Programmatic Display,YOUNG_PROFESSIONALS,DV360_GB_A11_01_6094,800x600,20467
data/assets/dv360/dv360_deepal_s05_native_ad_02.png,"Hero launch native ad creative for DEEPAL S05 — lifestyle shot targeting luxury lifestyle audiences, used in DV360 programmatic display, September 2025 UK launch",dv360,DEEPAL S05,Native Ad,LUXURY_LIFESTYLE,DV360_GB_S05_02_5933,800x600,19395
data/assets/dv360/dv360_deepal_s07_rich_media_03.png,"Hero launch rich media unit for DEEPAL S07 — lifestyle shot targeting website retargeting visitors, used in DV360 programmatic display, September 2025 UK launch",dv360,DEEPAL S07,Rich Media,SITE_VISITORS,DV360_GB_S07_03_4546,800x600,19344
data/assets/dv360/dv360_deepal_s07_programmatic_display_04.png,"Hero launch programmatic display banner for DEEPAL S07 — lifestyle shot targeting Audi conquest segment, used in DV360 programmatic display, September 2025 UK launch",dv360,DEEPAL S07,Programmatic Display,CONQUEST_AUDI,DV360_GB_S07_04_2876,800x600,21799
data/assets/print/print_avatr_11_magazine_full_page_01.png,"Hero launch full-page magazine ad for AVATR 11 — lifestyle shot targeting eco-conscious consumers, used in print media publications, September 2025 UK launch",print,AVATR 11,Magazine Full Page,ECO_CONSCIOUS,PRINT_GB_A11_01_9090,800x600,16808
data/assets/print/print_avatr_12_magazine_dps_02.png,"Hero launch double-page spread for AVATR 12 — lifestyle shot targeting EV intenders, used in print media publications, September 2025 UK launch",print,AVATR 12,Magazine DPS,EV_INTENDERS,PRINT_GB_A12_02_9136,800x600,17863
data/assets/print/print_avatr_11_advertorial_03.png,"Hero launch advertorial layout for AVATR 11 — lifestyle shot targeting fleet managers, used in print media publications, September 2025 UK launch",print,AVATR 11,Advertorial,FLEET_MANAGERS,PRINT_GB_A11_03_8245,800x600,17026
data/assets/radio/radio_avatr_11_podcast_artwork_01.png,"Hero launch podcast artwork tile for AVATR 11 — lifestyle shot targeting Tesla conquest segment, used in radio and podcast channels, September 2025 UK launch",radio,AVATR 11,Podcast Artwork,CONQUEST_TESLA,RADIO_GB_A11_01_7192,800x600,19120
data/assets/radio/radio_avatr_12_station_ident_02.png,"Hero launch station ident graphic for AVATR 12 — lifestyle shot targeting premium auto buyers, used in radio and podcast channels, September 2025 UK launch",radio,AVATR 12,Station Ident,PREMIUM_AUTO,RADIO_GB_A12_02_4257,800x600,17918
data/assets/radio/radio_deepal_s05_audio_ad_cover_03.png,"Hero launch audio ad cover image for DEEPAL S05 — lifestyle shot targeting engaged video viewers, used in radio and podcast channels, September 2025 UK launch",radio,DEEPAL S05,Audio Ad Cover,ENGAGED_VIEWERS,RADIO_GB_S05_03_3456,800x600,20233
